DATA,AVAYALOGIN,SUPERVISOR,SEGMENTO,STATUS,TEMPODECASA,TURNO,ATENDIDAS,RECH,TMA,TALKTIME,ACW,TRANSF,AVALIADAS,PROMOTORAS,NEUTRAS,DETRATORAS
2024-02-09,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,53,3,380,300,80,0,10,10,0,0
2024-02-01,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,32,1,199,143,56,0,8,8,0,0
2024-01-16,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,41,9,187,158,29,0,12,6,4,2
2024-03-14,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,48,1,466,410,56,4,7,3,4,0
2024-03-07,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,39,7,219,173,46,3,4,4,0,0
2024-02-22,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,30,2,248,176,72,1,1,0,1,0
2024-03-25,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,25,2,350,324,26,0,1,1,0,0
2024-01-11,5510001,Supervisor 6,Segmento 1,Ativo,até 1 ano,Manhã,21,3,377,299,78,0,0,0,0,0
2024-01-17,5510002,Supervisor 2,Segmento 3,Férias,até 30 dias,Manhã,22,1,476,432,44,1,0,0,0,0
2024-02-28,5510002,Supervisor 2,Segmento 3,Férias,até 30 dias,Manhã,25,0,196,164,32,2,2,0,2,0
2024-01-25,5510002,Supervisor 2,Segmento 3,Férias,até 30 dias,Manhã,27,1,447,401,46,0,7,6,1,0
2024-01-24,5510002,Supervisor 2,Segmento 3,Férias,até 30 dias,Manhã,60,3,193,149,44,0,6,3,3,0
2024-03-05,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,54,0,451,337,114,0,10,6,4,0
2024-01-11,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,43,3,345,318,27,0,7,4,2,1
2024-03-26,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,25,0,340,289,51,2,0,0,0,0
2024-02-15,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,40,4,348,296,52,2,7,2,3,2
2024-02-16,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,42,6,260,223,37,0,5,5,0,0
2024-02-14,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,52,10,201,188,13,1,0,0,0,0
2024-03-11,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,35,5,305,242,63,2,3,2,1,0
2024-03-22,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,48,9,190,158,32,2,1,0,1,0
2024-02-19,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,51,8,180,137,43,1,4,4,0,0
2024-01-02,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,27,0,351,260,91,0,5,4,1,0
2024-02-02,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,55,4,200,175,25,2,16,9,7,0
2024-02-12,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,32,3,372,262,110,1,2,2,0,0
2024-01-03,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,24,3,389,312,77,0,2,2,0,0
2024-02-26,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,48,5,185,170,15,5,12,6,5,1
2024-03-15,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,52,0,183,151,32,0,3,2,1,0
2024-02-01,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,25,2,402,308,94,2,4,2,2,0
2024-01-23,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,30,5,429,336,93,0,0,0,0,0
2024-03-06,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,25,1,453,340,113,2,7,7,0,0
2024-03-18,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,39,6,470,376,94,2,3,2,1,0
2024-01-31,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,49,4,193,150,43,5,11,10,1,0
2024-01-05,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,43,1,283,215,68,0,1,0,1,0
2024-03-04,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,44,6,247,232,15,2,10,5,5,0
2024-01-22,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,51,14,375,344,31,0,16,13,3,0
2024-03-12,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,33,0,145,111,34,2,4,1,3,0
2024-01-09,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,47,2,307,273,34,1,4,2,2,0
2024-02-21,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,55,3,378,307,71,4,3,1,2,0
2024-01-30,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,45,2,405,378,27,1,6,6,0,0
2024-03-28,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,22,1,362,300,62,0,4,3,1,0
2024-03-13,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,45,11,273,231,42,3,4,4,0,0
2024-02-29,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,43,0,333,281,52,5,0,0,0,0
2024-03-25,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,58,9,415,314,101,0,6,3,3,0
2024-02-22,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,22,0,217,152,65,0,1,1,0,0
2024-01-16,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,23,4,226,189,37,3,2,0,2,0
2024-02-09,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,54,5,466,416,50,5,8,7,1,0
2024-03-19,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,32,4,405,313,92,2,3,3,0,0
2024-02-28,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,40,4,260,200,60,3,6,4,2,0
2024-01-29,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,38,2,160,125,35,1,3,1,2,0
2024-01-08,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,55,2,175,149,26,1,4,2,2,0
2024-02-05,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,23,1,361,261,100,0,2,1,1,0
2024-03-01,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,50,4,284,219,65,0,3,3,0,0
2024-02-20,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,31,1,138,131,7,1,2,0,2,0
2024-03-14,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,39,1,291,224,67,4,2,2,0,0
2024-01-19,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,37,0,289,214,75,1,0,0,0,0
2024-03-29,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,41,9,465,413,52,1,8,5,3,0
2024-01-12,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,45,2,191,156,35,0,3,2,1,0
2024-02-27,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,41,5,413,290,123,1,0,0,0,0
2024-03-27,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,49,3,471,388,83,5,3,3,0,0
2024-01-26,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,43,3,188,154,34,2,8,6,2,0
2024-01-25,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,35,1,389,315,74,0,1,0,1,0
2024-01-15,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,56,2,287,262,25,1,15,7,5,3
2024-03-08,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,23,3,353,296,57,1,6,4,2,0
2024-02-06,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,33,0,336,264,72,0,1,1,0,0
2024-02-23,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,38,1,448,423,25,3,6,5,1,0
2024-01-24,5510003,Supervisor 4,Segmento 2,Ativo,até 30 dias,Manhã,44,1,454,415,39,0,11,7,4,0
2024-02-22,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,32,2,209,179,30,1,2,2,0,0
2024-03-22,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,48,3,329,242,87,2,3,2,1,0
2024-02-29,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,44,8,331,311,20,1,4,2,2,0
2024-03-05,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,20,2,167,139,28,0,0,0,0,0
2024-02-16,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,19,0,365,274,91,1,0,0,0,0
2024-02-07,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,28,1,365,338,27,2,1,1,0,0
2024-03-25,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,39,5,303,235,68,1,7,4,3,0
2024-02-02,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,38,0,408,373,35,0,4,4,0,0
2024-03-13,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,24,0,314,264,50,0,3,3,0,0
2024-01-19,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,44,2,206,151,55,1,1,0,1,0
2024-01-22,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,18,3,190,173,17,0,1,1,0,0
2024-02-09,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,54,9,367,317,50,0,4,3,1,0
2024-01-31,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,16,2,465,375,90,0,0,0,0,0
2024-01-12,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,48,1,437,363,74,2,2,1,1,0
2024-01-24,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,44,3,273,237,36,5,1,0,1,0
2024-01-17,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,39,3,148,127,21,0,6,4,2,0
2024-03-26,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,48,3,228,210,18,4,0,0,0,0
2024-01-10,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,19,2,398,334,64,0,0,0,0,0
2024-01-03,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,52,3,159,123,36,4,12,12,0,0
2024-02-28,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,39,2,472,415,57,1,3,1,2,0
2024-02-06,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,36,6,287,203,84,1,5,5,0,0
2024-02-23,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,26,5,314,226,88,0,1,1,0,0
2024-01-02,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,39,2,319,248,71,0,7,4,2,1
2024-03-15,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,21,0,340,276,64,1,0,0,0,0
2024-01-18,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,37,4,426,381,45,0,3,1,2,0
2024-01-05,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,51,6,206,151,55,1,2,1,1,0
2024-01-09,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,41,0,304,231,73,1,3,2,1,0
2024-03-07,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,23,1,290,264,26,1,3,3,0,0
2024-02-08,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,34,1,365,284,81,2,5,5,0,0
2024-01-04,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,35,3,306,222,84,2,2,2,0,0
2024-02-27,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,44,3,344,309,35,0,13,12,1,0
2024-02-21,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,55,2,457,337,120,3,4,4,0,0
2024-02-05,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,49,6,398,282,116,1,1,1,0,0
2024-02-20,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,54,3,289,272,17,0,1,0,1,0
2024-03-06,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,38,5,421,367,54,0,4,4,0,0
2024-03-11,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,22,5,192,151,41,0,2,1,1,0
2024-03-29,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,43,7,283,202,81,0,2,2,0,0
2024-03-20,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,25,3,384,285,99,0,3,2,1,0
2024-03-28,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,26,3,322,227,95,0,3,2,1,0
2024-03-04,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,28,2,152,128,24,1,1,1,0,0
2024-03-27,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,31,3,390,367,23,1,1,1,0,0
2024-01-23,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,44,4,434,367,67,2,2,0,2,0
2024-03-12,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,38,8,318,255,63,0,7,7,0,0
2024-02-12,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,50,2,191,142,49,4,2,0,2,0
2024-01-25,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,23,1,407,336,71,1,3,2,1,0
2024-01-15,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,20,1,269,190,79,0,3,3,0,0
2024-01-29,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,50,1,257,229,28,2,12,4,5,3
2024-01-26,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,49,3,172,152,20,1,0,0,0,0
2024-01-30,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,43,0,344,315,29,0,5,5,0,0
2024-03-19,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,54,1,225,202,23,4,8,4,3,1
2024-03-18,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,33,2,383,362,21,0,3,1,2,0
2024-02-15,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,23,1,247,181,66,0,6,5,1,0
2024-03-14,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,51,10,332,263,69,0,11,8,2,1
2024-01-11,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,44,5,417,292,125,5,3,3,0,0
2024-02-19,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,19,3,231,217,14,1,2,1,1,0
2024-02-13,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,51,12,295,272,23,0,6,5,1,0
2024-03-01,5510004,Supervisor 2,Segmento 3,Ativo,mais de 1 ano,Tarde,22,1,345,280,65,3,1,1,0,0
2024-02-19,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,45,3,339,292,47,0,1,0,1,0
2024-01-16,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,53,0,124,108,16,6,2,1,1,0
2024-02-27,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,34,0,172,133,39,1,2,2,0,0
2024-02-01,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,24,0,432,372,60,0,1,1,0,0
2024-01-23,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,33,0,191,169,22,1,3,2,1,0
2024-01-08,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,35,0,247,207,40,2,11,4,5,2
2024-03-26,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,39,1,320,247,73,0,1,0,1,0
2024-02-28,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,60,8,126,119,7,2,9,6,2,1
2024-03-27,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,54,7,157,110,47,0,0,0,0,0
2024-01-15,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,45,6,336,294,42,0,4,1,3,0
2024-01-04,5510005,Supervisor 4,Segmento 1,Afastado,até 6 meses,Manhã,29,3,420,360,60,0,3,3,0,0
2024-01-16,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,25,1,308,227,81,2,1,0,1,0
2024-03-18,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,11,0,245,174,71,0,0,0,0,0
2024-01-10,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,27,5,455,366,89,1,5,4,1,0
2024-02-09,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,28,4,464,429,35,0,1,1,0,0
2024-02-23,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,34,5,164,137,27,0,6,4,2,0
2024-02-22,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,24,3,220,194,26,0,3,1,2,0
2024-01-04,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,27,0,291,203,88,2,1,0,1,0
2024-01-26,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,23,0,192,168,24,0,8,6,2,0
2024-02-28,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,24,1,417,301,116,0,2,0,2,0
2024-03-06,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,31,3,269,205,64,1,5,4,1,0
2024-03-19,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,18,0,189,169,20,0,1,1,0,0
2024-03-28,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,23,1,226,183,43,0,2,1,1,0
2024-03-29,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,16,2,195,140,55,0,0,0,0,0
2024-03-27,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,31,1,135,126,9,1,0,0,0,0
2024-01-01,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,35,1,126,90,36,1,3,2,1,0
2024-03-04,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,28,0,131,124,7,0,1,1,0,0
2024-01-11,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,11,0,206,191,15,0,1,1,0,0
2024-03-01,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,21,0,260,200,60,0,4,2,2,0
2024-03-11,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,25,3,151,109,42,1,1,0,1,0
2024-01-15,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,35,7,398,356,42,1,2,0,2,0
2024-02-13,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,29,2,149,134,15,1,3,1,2,0
2024-01-31,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,17,2,393,355,38,0,1,1,0,0
2024-02-15,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,39,2,210,159,51,1,0,0,0,0
2024-03-15,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,32,2,408,382,26,3,2,1,1,0
2024-01-23,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,12,0,130,108,22,0,2,2,0,0
2024-03-08,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,39,5,150,105,45,1,8,5,3,0
2024-02-01,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,21,3,420,304,116,0,6,5,1,0
2024-03-07,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,15,2,234,202,32,1,2,1,1,0
2024-01-24,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,15,3,410,290,120,0,0,0,0,0
2024-03-12,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,39,2,159,120,39,1,1,1,0,0
2024-01-02,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,10,0,474,339,135,0,0,0,0,0
2024-01-30,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,22,3,205,188,17,1,3,1,2,0
2024-02-07,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,35,3,203,165,38,0,2,1,1,0
2024-02-20,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,12,1,202,178,24,0,2,1,1,0
2024-02-26,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,23,1,430,396,34,0,1,1,0,0
2024-01-03,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,31,1,169,120,49,1,2,0,2,0
2024-02-21,5510006,Supervisor 4,Segmento 1,Ativo,até 6 meses,Noite,12,1,222,160,62,0,3,1,2,0
